RICHMOND	1113
PARK	1218
TARAVAL	1420
TENDERLOIN	1485
BAYVIEW	1684
INGLESIDE	1921
CENTRAL	2512
MISSION	2554
NORTHERN	2588
SOUTHERN	4338
