0	888
1	624
2	493
3	369
4	203
5	212
6	305
7	461
8	689
9	802
10	910
11	902
12	1031
13	1024
14	1095
15	1098
16	1151
17	1384
18	1393
19	1294
20	1251
21	1180
22	1117
23	957
